entity_name,rp_entity_id,date_nyse_1530,daily_score,n_positive,n_negative,n_neutral,n_unclear,volume,signal_7d,signal_30d,volume_7d,volume_30d
10X Genomics Inc.,A0B7C8,2021-02-17,-1.0,0.0,5.0,0.0,0.0,5.0,-1.0,-1.0,5.0,5.0
3D Systems Corp.,E74B55,2021-06-15,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0
A.O. Smith Corp.,B4703C,2021-04-29,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0
ADMA Biologics Inc.,D07B07,2021-06-01,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0
AMC Entertainment Holdings Inc.,A3800A,2021-03-26,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0
ARM Holdings PLC,PPCM8I,2021-02-08,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-10,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ASE Technology Holding Co. Ltd.,17F6AD,2021-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
