id,name
9417FE,TSMC Ltd. (Taiwan)
D8442A,Apple Inc.
1BC12C,GM (General Motors Co.)
00067A,Humana Inc.
001F1B,PriceSmart Inc.
002A99,Kyntra Bio Inc.
00326D,Park Aerospace Corp.
003B70,Realty Income Corp.
004073,GigaMedia Ltd.
0041F3,Sienna Biopharmaceuticals Inc.
006697,Golf Entertainment Group Inc.
00865A,Firsthand Technology Value Fund Inc.
008CE5,Enerflex Ltd.
009397,LPL Financial Holdings Inc.
00D6B5,Tronox Holdings PLC
00E601,Kite Realty Group Trust
00F26A,Atai Beckley Inc.
00FC70,Brady Corp.
011DEF,Rediff.com India Ltd.
01316B,Bilibili Inc.
