RP_COMPANY_ID,COMPANY_NAME,COUNTRY,SECTOR
7B1E50,FirstEnergy Corp.,United States,Utilities
P3ATX7,Space42 PLC,United Arab Emirates,Technology
9C3136,Valeo SE,France,Consumer Goods
545FA9,Marui Group Co. Ltd.,Japan,Consumer Services
944E9A,Disc Medicine Inc.,United States,Health Care
5A4178,Weg SA,Brazil,Industrials
A247F5,Fair Isaac Corp.,United States,Technology
29CD77,LendingTree Inc.,United States,Financials
7FBEA5,Guangdong Guangzhou Daily Media Co. Ltd.,China,Consumer Services
CBE04E,Shandong Hi-Speed Co. Ltd.,China,Industrials
389E4A,KEC International Ltd.,India,Industrials
DFB60C,FAW Jiefang Group Co. Ltd.,China,Consumer Goods
824731,Shenzhen Inovance Technology Co. Ltd.,China,Industrials
105D00,Sandy Spring Bancorp Inc.,United States,Financials
7A4767,Xiamen Faratronic Co. Ltd.,China,Industrials
5C8923,H.I.S. Co. Ltd.,Japan,Consumer Services
0F00BC,Sankyo Co. Ltd.,Japan,Consumer Services
BA7E23,Woolworths Group Ltd.,Australia,Consumer Services
C4F348,Dentsu Soken Inc.,Japan,Technology
34558B,Sompo Holdings Inc.,Japan,Financials
563ECE,Crompton Greaves,India,Industrials
A52B6B,Palo Alto Networks Inc.,United States,Technology
4784D2,Wanhua Chemical Group Co. Ltd.,China,Basic Materials
6GD835,Sungeel Hitech Co. Ltd.,South Korea,Industrials
5E3C1A,Sibanye-Stillwater Ltd.,South Africa,Basic Materials
804756,MacMic Science & Technology Co. Ltd.,China,Technology
F294DD,First Bancorp. (North Carolina),United States,Financials
11034F,Formycon AG,Germany,Health Care
5DDCA3,GFT Technologies AG,Germany,Technology
0WD4OL,Jiangxi Hungpai New Material Co. Ltd.,China,Basic Materials
AC9F5D,HCL Technologies Ltd.,India,Technology
E592F0,Viavi Solutions Inc.,United States,Technology
90B96F,Minebea Mitsumi Inc.,Japan,Industrials
11A82E,Activia Properties Inc.,Japan,Real Estate
734E59,Holley Inc.,United States,Consumer Services
FB7724,Inogen Inc.,United States,Health Care
C4DF4F,Asset World Corp. PCL,Thailand,Real Estate
6B67BD,Ocular Therapeutix Inc.,United States,Health Care
0E3436,Designer Brands Inc.,United States,Consumer Services
6E61EC,OTC Markets Group Inc.,United States,Financials
44C38C,New World Development Co. Ltd.,Hong Kong SAR,Real Estate
C357A3,Hyliion Holdings Corp.,United States,Financials
GUO9MQ,Shanghai BOCHU Elec Tech Corp. Ltd.,China,Industrials
408089,Sherwin-Williams Co.,United States,Industrials
8663EE,Bank of India Ltd.,India,Financials
E134A2,AerSale Corp.,United States,Industrials
2BA977,Altria Group Inc.,United States,Consumer Goods
016DFB,Nomura Holdings Inc.,Japan,Financials
BAC6D3,Chengdu Guibao Science & Tech Co. Ltd.,China,Industrials
85219B,Changshu Bank,China,Financials
30DD76,Grand City Properties S.A.,Luxembourg,Real Estate
