Date,Highlight,Companies
2025-09-20,"Many companies may pull back, delay hiring, or shift roles overseas due to the increased costs associated with the new visa fee.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-20,"The policy may force companies to offshore high-value work, potentially harming America's competitiveness in critical areas like artificial intelligence.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-21,"Major companies, including Microsoft, JPMorgan, and Amazon, have advised employees holding H-1B visas to remain in the United States following the announcement of the new fee, indicating a cautious industry response.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-21,"Commerce Secretary Howard Lutnick stated that the fee would be paid annually, but details are still being considered, highlighting ongoing discussions about the implementation of the fee.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-22,"Thomson Reuters Corp. is expected to become more selective in H-1B sponsorship, focusing on business-critical roles due to the new high fee.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-22,"The company has reduced its reliance on the H-1B program through local hiring, acquisitions, and partnerships.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-23,"The $100,000 fee on H-1B visas is causing confusion and leading companies to pause recruitment and workforce planning.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-23,Experts indicate that companies may need to reduce the number of H-1B visa workers they can hire due to the new fee.,"Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-24,"Corporate clients have described the new fee as unworkable, leading to discussions about relocating talent acquisition to other countries.","Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-24,DBRS Ltd. indicates that hiring for entry-level jobs using H-1B visas becomes nearly impossible under the new fee structure.,"Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-25,Talent Fund is advocating for the expansion of the Global Talent Fund to support engineering and founding professionals affected by U.S. visa policies.,"Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-25,Some banks may consider moving certain technology functions offshore as a response to the high fee on H-1B visas.,"Thomson Reuters Corp., DBRS Ltd., Talent Fund"
2025-09-20,"The cost for sponsoring a single H-1B applicant has increased to $100,000, which is expected to reshape IBM's hiring practices.","IBM Corp. Pty. Ltd., Metaview, Dewang"
2025-09-21,"IBM is part of the coalition Compete America, which is advocating for the reconsideration of the $100,000 fee on H-1B visas due to its potential negative impact on American job growth.","IBM Corp. Pty. Ltd., Metaview, Dewang"
2025-09-22,Metaview is ready to move quickly to hire top professionals despite the increased costs associated with the H-1B visa changes.,"IBM Corp. Pty. Ltd., Metaview, Dewang"
2025-09-22,"IBM is actively evaluating alternative visa options, including the L-1 visa route for managers and specialized employees, which requires prior overseas service.","IBM Corp. Pty. Ltd., Metaview, Dewang"
