Time Period,Date,Document ID,Sentence ID,Headline,Chunk Text,Motivation,Label,Entity,Country Code,Entity Type,Theme Matching Label,Theme Matching Motivation,motivation,label
Sep 2025,2025-09-19,0021B03B2108DAD4F301A781A323A610,0021B03B2108DAD4F301A781A323A610-1,Trump's H-1B Visa Overhaul: Tech Industry Feels the Heat,"The Trump administration proposes a $100,000 per year fee for H-1B visas, impacting the tech industry which relies on skilled foreign workers. This move is part of a broader immigration crackdown, stirring debate among industries and experts about its implications for innovation and competitiveness.","The sentence discusses a proposed fee for H-1B visas and its impact on the tech industry, which directly relates to the theme of 'A proposed tax impacting companies employing H-1B visa holders.' It also hints at broader implications for innovation and competitiveness, aligning with the narrative of how such a tax could affect companies' operational strategies and market position.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly mentions a proposed fee of $100,000 per year for H-1B visas, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'. It also discusses the impact on the tech industry, reinforcing the relevance to the topic.","Donald Trump is mentioned in the context of the administration's proposal, but the sentence does not quote something that he has explicitly said. It describes an action taken by the Trump administration rather than a direct quote from Donald Trump himself.",narrative
Sep 2025,2025-09-19,2F8C8298EC067BC8C518E311D4507E83,2F8C8298EC067BC8C518E311D4507E83-1,"$100,000 fee for companies hiring H-1Bs? What does this mean? What is the present cost?","In a major overhaul of the H-1B program, President Donald Trump is planning to add $100,000 application fee for the program, and may sign the proclamation Friday, reports said. This will be a steep jump costing companies a bomb if they want to hire foreign talent under the H-1B visa program. The current fee is around $1,000 for an initial application. It is not yet known whether $100,000 is for every applicant or for certain types of petitions. Now it takes $215 fee to register for the lottery and a $780 fee for a Form I-129 -- a petition for a non-immigrant worker filed by an employer sponsor.","The sentence discusses a proposed significant increase in application fees for the H-1B visa program, which directly relates to the theme of a proposed tax impacting companies employing H-1B visa holders. The mention of a steep jump in costs for companies hiring foreign talent aligns with the narrative of increased operational costs due to new fees.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly discusses the introduction of a $100,000 application fee for the H-1B program, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'. It provides details about the current fees and the implications of the proposed fee increase, making the connection clear.","Donald Trump is mentioned as planning to add a $100,000 application fee for the H-1B program, but this sentence describes an action he is taking rather than something he has explicitly said.",narrative
Sep 2025,2025-09-19,4350E82301CC33C8E30F5976E440DDEC,4350E82301CC33C8E30F5976E440DDEC-1,"Trump's $100,000 H-1B Visa Proposal: A Tech Industry Setback","The Trump administration proposes a $100,000 per year fee for H-1B worker visas, impacting the technology sector that depends on skilled workers from India and China. This move forms part of a broader immigration crackdown, risking U.S. competitiveness in innovation by deterring global talent.","The sentence discusses a proposed fee for H-1B worker visas and its implications for the technology sector, highlighting how it may deter global talent and impact U.S. competitiveness in innovation. This aligns with the theme of 'A proposed tax impacting companies employing H-1B visa holders.'",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence directly discusses the proposed $100,000 fee for H-1B worker visas, clearly establishing a connection to the theme of 'Introduction of a high fee on H-1B visas'. It also highlights the implications of this fee on the technology sector and U.S. competitiveness, reinforcing the relevance to the theme.","Donald Trump is mentioned in relation to the administration's proposal, but the sentence does not quote something that he has explicitly said. It describes an action taken by the Trump administration rather than a direct statement from Donald Trump himself.",narrative
Sep 2025,2025-09-19,4350E82301CC33C8E30F5976E440DDEC,4350E82301CC33C8E30F5976E440DDEC-2,"Trump's $100,000 H-1B Visa Proposal: A Tech Industry Setback","The Trump administration's latest proposal to charge $100,000 annually for H-1B worker visas could significantly impact the technology sector, a major user of these visas for talent acquisition. By targeting legal immigration forms, the administration aims to reshape job markets, affecting both corporations and skilled workers globally.","The sentence discusses a proposed tax on H-1B worker visas and its potential impact on the technology sector, which aligns with the theme of 'A proposed tax impacting companies employing H-1B visa holders.' It highlights how this tax could reshape job markets and affect corporations, making it relevant to the narrative about the implications of such a tax.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence discusses a proposal by the Trump administration to charge a high fee of $100,000 annually for H-1B worker visas, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'. It highlights the potential impact on the technology sector and legal immigration, making the connection clear.","Donald Trump is mentioned in relation to the administration's proposal, but the sentence does not quote anything that he has explicitly said. It describes actions taken by the administration rather than direct statements from Donald Trump.",narrative
Sep 2025,2025-09-19,61BCA1E0335E9B3DA576A9331BBBB4EC,61BCA1E0335E9B3DA576A9331BBBB4EC-5,"Trump Slaps $100,000 Fee On H-1B Visa Applications In New Executive Order  Watch","top videos
Swipe Left For Next Video
However, the Trump administration has consistently taken a more restrictive stance, claiming that the program has been misused to undercut American workers. The new fee, if enforced, would likely deter many companies, particularly smaller firms and startups, from pursuing H-1B hires.","The sentence discusses how the new fee associated with H-1B visa hires may deter companies, especially smaller firms and startups, from pursuing these hires, which aligns with the theme of higher costs deterring companies from hiring H-1B visa candidates.",Higher costs may deter companies from hiring H-1B visa candidates.,Donald Trump,,PEOP,related,"The sentence discusses the potential impact of a new fee on H-1B visa applications, specifically mentioning that it could deter companies from hiring H-1B workers. This directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in relation to the actions of the Trump administration, but the sentence does not quote anything that he has explicitly said. It discusses the administration's stance and potential effects of a new fee without direct quotes.",narrative
Sep 2025,2025-09-19,868271E19B71237CD398252C8F95CF62,868271E19B71237CD398252C8F95CF62-9,"Infosys stock falls 4.5% after Trump's $100,000 H-1B visa fee plan report",The proposed H-1B fee increase follows other Trump administration measures targeting skilled worker immigration programs. These policies aim to prioritize domestic employment opportunities over foreign worker recruitment.,"The sentence discusses a proposed fee increase related to H-1B visas and mentions policies that prioritize domestic employment over foreign worker recruitment, which aligns with the theme of companies potentially prioritizing domestic candidates over H-1B visa applicants.",Companies may prioritize domestic candidates over H-1B visa applicants.,Donald Trump,,PEOP,related,"The sentence discusses the proposed increase in H-1B fees as part of broader immigration policies from the Trump administration, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in relation to the administration's measures, but the sentence does not quote anything that he has explicitly said. It discusses actions taken by his administration rather than direct quotes from him.",narrative
Sep 2025,2025-09-19,9B68DB2620C219C0EDC9D988131E41CA,9B68DB2620C219C0EDC9D988131E41CA-1,"The Latest: Trump overhauls H-1B visa for high-skilled workers and adds new $100,000 annual fee","President Donald Trump on Friday signed a proclamation that will require a new , among other changes to the program for highly skilled foreign workers.
H-1B visas are meant to bring the best and brightest foreigners for high-skilled jobs that tech companies find difficult to fill with qualified U.S. citizens and permanent residents. The program instead has turned into a pipeline for overseas workers who are often willing to work for as little as $60,000 annually. That is far less than $100,000-plus salaries typically paid to U.S. technology workers.","The sentence discusses changes to the H-1B visa program, indicating a new tax or regulation that may impact the hiring of foreign workers. This aligns with the theme of a proposed tax impacting companies employing H-1B visa holders.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence discusses changes to the H-1B visa program, including the introduction of a new fee, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned as having signed a proclamation, but the sentence does not quote anything he explicitly said. It describes an action he took rather than a statement he made.",narrative
Sep 2025,2025-09-19,9CC4E795C6EDB645CDC01E750F0615D8,9CC4E795C6EDB645CDC01E750F0615D8-9,"S&P 500 Gains and Losses Today: Paramount Surges Amid Deal Buzz, Apple Rises as iPhone 17 Goes on Sale","Companies in the IT services business came under pressure after reports that President Trump intends to initiate a $100,000 application fee for H-1B worker visas. The president is also reportedly exploring changes to prevailing-wage rules as an additional way of discouraging the use of H-1B visas. Shares of global tech consulting firm Cognizant Technology Solutions (CTSH) dropped 4.7%.","The sentence discusses the pressure on IT services companies due to a proposed application fee for H-1B worker visas, which directly relates to the theme of a proposed tax impacting companies employing H-1B visa holders. The mention of changes to prevailing-wage rules also indicates a potential increase in costs associated with H-1B visas, further linking it to the narrative of operational impacts on companies. ",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly mentions a proposed $100,000 application fee for H-1B worker visas, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in the context of intending to initiate a fee for H-1B worker visas, but this is not a direct quote of something he has explicitly said.",narrative
Sep 2025,2025-09-19,BB1D5EF22E89D62080AE578222F89BA4,BB1D5EF22E89D62080AE578222F89BA4-3,Hiring H-1B visa workers may cost $100K more with Trump's latest executive order,"The order includes raising the H1-B application fee to $100,000. It's unclear if that fee would replace or add to the existing fees, which are significantly lower.
Commerce Secretary Howard Lutnick, who spoke alongside Trump in the Oval Office, said it would be a yearly fee for companies that hire H1-B workers. Officials said the fee would help ensure the visa is used to bring in workers who are actually very highly skilled and not to replace American workers.","The sentence discusses a proposed increase in the H1-B application fee, which directly relates to the theme of a proposed tax impacting companies employing H-1B visa holders. The mention of a yearly fee for companies hiring H1-B workers indicates a financial burden that aligns with the narrative of increased operational costs due to H-1B visa taxes.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly discusses the introduction of a high fee on H-1B visas, mentioning a specific amount of $100,000 and the implications of this fee. It directly relates to the theme of the article regarding the financial impact of hiring H-1B workers under the new executive order.","Donald Trump is mentioned in the context of an executive order, but the sentence does not quote anything he has explicitly said. It discusses actions and statements made by others regarding the order.",narrative
Sep 2025,2025-09-19,CC1386EC456F0D5AD1E3FE9F2A76704B,CC1386EC456F0D5AD1E3FE9F2A76704B-3,"President Trump signs proclamation to raise fee for H-1B visa applications to $100,000","Hiking up the fee opens a new front in the Trump administration's crackdown on immigration, legal or otherwise. Trump administration cracks down on H-1Bs
Commerce Secretary Howard Lutnick said the new fee will prevent companies from training workers and encourage them to hire Americans.","The sentence discusses the implications of a new fee related to H-1B visas, indicating that it may prevent companies from training foreign workers and encourage hiring of domestic candidates. This aligns with the theme of companies prioritizing domestic candidates over H-1B visa applicants.",Companies may prioritize domestic candidates over H-1B visa applicants.,Donald Trump,,PEOP,related,"The sentence discusses the increase in fees for H-1B visas and its implications, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in the context of the Trump administration's actions, but the sentence does not quote anything that Donald Trump has explicitly said. It discusses the administration's crackdown on immigration without providing a direct quote from him.",narrative
