RP_ENTITY_ID,COMPANY_NAME
HTA3J9,Constellation Energy Corp.
8VCHP2,Credo Technology Group Holding Ltd.
8Y7T09,First Watch Restaurant Group Inc.
900356,Simon Property Group Inc.
900A5C,Landcadia Holdings IV Inc.
901327,Belden Inc.
902670,Marathon Oil Corp.
903AB4,Agree Realty Corp.
9043FE,BGC Group Inc.
905356,America's Car-Mart Inc.
906062,Putnam Municipal Opportunities Trust
9073E2,Asana Inc.
907ED2,City Holding Co.
90B678,National Beverage Corp.
911A02,Home Point Capital Inc.
911AB8,Newmont Corp.
913437,Priority Technology Holdings Inc.
914B0C,Sharecare Inc.
915E7B,Sunstone Hotel Investors Inc.
9196A2,Morgan Stanley Co.
91B72A,Monte Rosa Therapeutics Inc.
91C82E,Lennar Corp.
91F2C5,F&C Preferred Securities Income Fd Inc.
AC165D,Trinseo PLC
AC1952,Bridgewater Bancshares Inc.
AC3584,CryoPort Inc.
AC642C,WillScot Holdings Corp.
AC775C,Vishay Precision Group Inc.
AC7AAE,Syndax Pharmaceuticals Inc.
AC7C4F,CACI International Inc.
ACD9A4,Mueller Industries Inc.
ACDCFA,Accel Entertainment Inc.
ACDF88,The Home Depot Inc.
ACF0B4,Middleby Corp.
ACF77B,Paccar Inc.
AD1ACF,Tyson Foods Inc.
AD22F2,Caleres Inc.
AD23DE,Equifax Inc.
AD3008,The Chefs' Warehouse Inc.
AD3C93,AFLAC Inc.
FA044A,Northwestern Corp.
FA35C6,FormFactor Inc.
FA40E2,Conagra Brands Inc.
FA840E,ShockWave Medical Inc.
FA918D,Unitil Corp.
FAAE77,Assured Guaranty Ltd.
FAC1FD,Outlook Therapeutics Inc.
FACCF6,PAMT Corp.
FACF19,Walgreens Boots Alliance Inc.
FADA95,374Water Inc.
FAE021,United Parcel Service Inc.
FAEABE,WaFd Inc.
FB728F,Diversified Healthcare Trust
FB7724,Inogen Inc.
FB7DEC,Array Technologies Inc.
FBD2FD,Genpact Ltd.
FBDA0F,Columbia Financial Inc.
FC01C0,Azenta Inc.
FC1044,Alpine Immune Sciences Inc.
FC1A6E,Acadia Healthcare Co. Inc.
FC1B7B,Northrop Grumman Corp.
FC1F9D,Tractor Supply Co.
FC6365,Bain Capital Specialty Finance Inc.
FC80E6,H&E Equipment Services Inc.
FCA54E,Purple Innovation Inc.
FCB36B,Lightwave Logic Inc.
FCE7C0,Waldencast PLC
FD0CA4,GATX Corp.
FD1312,1800PetMeds
FD169C,ARS Pharmaceuticals Inc.
FD2466,Upstart Holdings Inc.
FD2565,Dynavax Technologies Corp.
FD39EB,NRG Energy Inc.
FD4588,Perficient Inc.
FD4BBE,Enova International Inc.
FD4E8D,Landstar System Inc.
FD554E,Vector Group Ltd.
FD6926,Teleflex Inc.
FD83D1,BellRing Brands Inc.
FD8EAF,Western Midstream Partners LP
FDC08C,MetroCity Bankshares Inc.
FDC7E6,Marine Products Corp.
FDD3FC,Deciphera Pharmaceuticals Inc.
FDE409,Methode Electronics Inc.
FDF1C0,TFS Financial Corp.
FDF28E,US Foods Inc.
FDF799,Caredx Inc.
FE2147,Blackrock Resources & Commodities Strategy Tst
FE2610,Matterport Inc.
FE7A63,Synovus Financial Corp.
VO15L1,Agiliti Inc. (Minnesota)
VQ9699,John Marshall Bancorp Inc.
0EC508,Innoviva Inc.
0ED415,Cullen/Frost Bankers Inc.
0EEA3A,USA Compression Partners LP
0F0440,Kohl's Corp.
0F04E5,Visteon Corp.
0F2BC9,NV5 Global Inc.
0F4931,Postal Realty Trust Inc.
0F65C9,NexPoint Residential Trust Inc.
0F79A4,Equitrans Midstream Corp.
0F7F8C,Cedar Fair LP
0F90E1,Travel + Leisure Co.
0F91FC,Forrester Research Inc.
0FABBD,WW International Inc.
0FB248,Flywire Corp.
0FB47C,Enterprise Products Partners LP
0FDE97,WisdomTree Inc.
0FE3A6,FRP Holdings Inc.
0FE503,Ambrx Biopharma Inc.
0FE695,Global Partners LP
AD6141,Equitable Holdings Inc.
AD8C78,Assertio Holdings Inc.
AD9800,BlueLinx Holdings Inc.
AD9F1D,Ryder System Inc.
ADA50C,Pinterest Inc.
ADD337,Gevo Inc.
ADF092,Warner Bros Discovery Inc.
ADF1B0,HealthStream Inc.
AE2413,Leonardo DRS Inc.
AE2D4F,Alpha Metallurgical Resources Inc.
AE3113,Upwork Inc.
AE4125,CarParts.com Inc.
AE4EEB,Equity Residential Corp.
AE5BC2,Open Lending Corp.
AE79CD,Liquidia Corp.
AE7CBC,Scorpio Tankers Inc.
AE7D16,MoneyGram International Inc.
AE7EC7,Weatherford International PLC
AE8A7E,Rivian Automotive Inc.
AEBAC3,Golar LNG Ltd.
AEBB80,Medifast Inc.
AECCA9,Greif Inc.
AED61E,HealthEquity Inc.
AED6CF,Centerspace REIT
AED763,Allegro MicroSystems Inc.
AEF2C3,Community Health Systems Inc.
AEFC90,Arrowhead Pharmaceuticals Inc.
AF0CF9,Northern Star Investment Corp. III
AF210D,Select Medical Holdings Corp.
AF30BC,Costamare Inc.
AF93DE,Earthstone Energy Inc.
AFBEB4,Grid Dynamics Holdings Inc.
AFD1CA,BJ's Restaurants Inc.
AFD7DD,Evergy Inc.
AFDF2E,AZZ Inc.
AFEC35,Public Storage Inc.
AFF43F,Hope Bancorp Inc.
AFF7B4,Unum Group Co.
WDJL5K,Apollo Global Management Inc.
7BCSGJ,Jackson Financial Inc.
7BFF81,Fox Corp.
7C4475,Athene Holding Ltd.
7C4E43,Sweetgreen Inc.
7C5939,FRMO Corp.
7C62A3,Qorvo Inc.
7C74BB,Pontem Corp.
7C75FD,Carriage Services Inc.
7C790D,Addus HomeCare Corp.
7CA8F6,Arko Corp.
7CBC40,TriNet Group Inc.
7D35D8,iRobot Corp.
7D5384,Hilltop Holdings Inc.
7D5FD6,PulteGroup Inc.
7D7716,ArcBest Corp.
7D85A9,Cencora Inc.
7D97DE,ExlService Holdings Inc.
7DD534,Accretion Acquisition Corp.
7DFE86,Cleanspark Inc.
ED0402,CoStar Group Inc.
ED1A74,Beam Therapeutics Inc.
ED22DC,Akero Therapeutics Inc.
ED2EFD,Middlesex Water Co.
ED37BF,Payoneer Global Inc.
ED3CA8,American Homes 4 Rent LLC
