COUNTRY_NAME,COUNTRY_RP_ENTITY_ID,BANK_NAME,BANK_RP_ENTITY_ID
Germany,E96159,Deutsche Bundesbank,0425F5
France,C3FAF4,Bank of France,1184C3
Italy,847BDC,Central Bank of Italy,270709
Spain,986F1A,Central Bank of Spain,8FD0DB
The Netherlands,A20475,Central Bank of the Netherlands,5EDABE
Belgium,5A4EFD,National Bank of Belgium,F51626
Austria,8A21EF,National Bank of Austria,441994
Portugal,AA5B7F,Central Bank of Portugal,07AE23
Greece,1B065F,Central Bank of Greece,F2F9F4
Ireland,D167B5,Central Bank of Ireland,383B3F
