RP_ENTITY_ID,COMPANY_NAME,VALUATION_VALUE
E09E2B,NVIDIA Corp.,5291301011.41667
D8442A,Apple Inc.,4477622320.05524
228D42,Microsoft Corp.,3136497329.10857
0157B1,Amazon.com Inc.,2828212996.38429
4A6F00,Alphabet Inc.,2233362560
09DE1F,Broadcom Inc.,2020377528.96
DD3BB1,Tesla Inc.,1596012755.70452
12E454,Meta Platforms Inc.,1342763254.5086
49BBBC,Micron Technology Inc.,963936006.661905
69345C,Advanced Micro Devices Inc.,775026794.609429
17EDA5,Intel Corp.,579952533.333333
12DE76,Cisco Systems Inc.,463695431.741429
B8EF97,Costco Wholesale Corp.,448559304.058843
0B57D7,Lam Research Corp.,384588695.14
ECD263,Netflix Inc.,363470093.829857
A4BCDE,Applied Materials Inc.,356388336.637048
F1C69A,Palantir Technologies Inc.,320038991.517786
PPCM8I,ARM Holdings PLC,319435988.069
39BFF6,Texas Instruments Inc.,276927370.959238
507AE7,KLA Corp.,250341919.350552
CFF15D,Qualcomm Inc.,237236327.619048
E5AAB0,SanDisk Corp.,230117508.752143
57DDB9,T-Mobile US Inc.,203296790.915143
E68C3D,Analog Devices Inc.,201691609.845943
013528,PepsiCo Inc.,200572597.182952
808319,Seagate Technology Holdings PLC,188323468.770574
E7D47B,Marvell Technology Inc.,186904328.811505
76F067,Amgen Inc.,181172092.403214
CE96E7,Western Digital Corp.,176184270.7495
36ECA4,CrowdStrike Holdings Inc.,166699469.172657
F6E248,Gilead Sciences Inc.,163497005.948571
9A4ECA,AppLovin Corp.,161231118.693333
18EC17,Intuitive Surgical Inc.,151188912.065543
FF6644,Honeywell International Inc.,141532463.61081
80D76F,PDD Holdings Inc.,130333013.01
034B61,Booking Holdings Inc.,125314441.817143
3CBA2A,Starbucks Corp.,115972887.071429
57CAAB,Vertex Pharmaceuticals Inc.,111430369.017629
315EB0,Equinix Inc.,105739749.457119
CC6FF5,Cadence Design Systems Inc.,103007425.428571
