RP_ENTITY_ID,COMPANY_NAME
B0BB37,Dottikon Es Holding AG
B115EF,Societe Generale S.A.
B16C61,Beazley PLC
B17747,Technip Energies N.V.
B1A8A2,Bechtle AG
B2AA0A,Erste Group Bank AG
B2CDCE,Avolta AG
B2D445,Addtech AB
B45FD2,Nebius Group N.V.
B49AB7,Thales S.A.
B595A6,Barratt Redrow PLC
B5F9B4,ITV PLC
B6046C,Brunello Cucinelli S.p.A.
B65281,Holmen AB
B65303,AstraZeneca PLC
B72D2E,EssilorLuxottica SA
B73B08,argenx SE
B76277,Air Liquide S.A.
B77AF6,UniCredit S.p.A.
B7B747,Telia Co. AB
B82F8E,Volvo Car AB
B887A5,Bankinter S.A.
B8BD35,Nexi S.p.A.
B8BD37,AerCap Holdings N.V.
BA9110,Fresenius SE & Co. KGaA
BB0F4C,ThyssenKrupp AG
BB3B90,Acea S.p.A.
BC77BC,Publicis Groupe S.A.
BC8373,Banco Santander S.A.
BC8E88,VAT Group AG
BC9793,HSBC Holdings PLC
DHV6B3,Zabka Group S.A.
CA3D88,EFG International AG
CA773C,DCC PLC
CB10F8,H&M Group
CB3F2F,Icon PLC
CBB84D,ACS S.A. (Spain)
CC2FAA,Hikma Pharmaceuticals PLC
CC58C6,Deutsche Wohnen SE
CC66D0,Auto1 Group SE
CC7BE5,Hannover Rueck SE
CCF287,Gecina S.A.
CD3691,Nestle S.A.
CD7A06,Alcon AG
CDE42A,Swisscom AG
CF0C90,Banco Comercial Portugues S.A.
SNKMGL,Technoprobe S.p.A.
I8DQKN,Smurfit WestRock PLC
4285C6,Renault S.A.
42B662,Fresnillo PLC
432B29,Zalando SE
4368A6,Kongsberg Gruppen ASA
4397ED,BioMerieux S.A.
439CBA,Sol S.p.A.
P4QYNH,Universal Music Group N.V.
69ADD9,Volkswagen AG
69CC3E,Swiss Life Holding AG
69EF5D,Recordati S.p.A.
6AD6C5,Flughafen Zuerich AG
6B2371,ALK-Abello A/S
6BC61F,Banca Monte dei Paschi di Siena S.p.A.
105B81,Konecranes Oyj
108DB5,OTP Bank Nyrt.
921CBB,Kuehne + Nagel International AG
925050,Jeronimo Martins SGPS S.A.
92589A,Gedeon Richter Nyrt.
F5221C,Danske Bank A/S
F53526,Intertek Group PLC
F5E860,Akbank T.A.S.
F60ACA,HAL Trust Co.
F62500,AIB Group PLC
F63C6D,Stora Enso Oyj
BDBABE,J Sainsbury PLC
627395,BPER Banca S.p.A.
629ACD,Turkiye Is Bankasi A.S.
633054,Deutsche Telekom AG
63A9BE,Geberit AG
63E257,FDJ United
93284C,Fastighets AB Balder
93CFA9,Sartorius AG
93E8EF,Swissquote Group Holding Ltd.
9453BA,Atlas Copco AB
947B28,Rolls-Royce Holdings PLC
94A811,Novartis AG
01D03F,Roche Holding AG
024115,Emmi AG
024205,Galp Energia SGPS S.A.
0265F4,CD Projekt S.A.
0285DE,Mapfre S.A.
048E7A,Aixtron SE
05461A,Ipsen S.A.
05E615,Rheinmetall AG
05FCE3,Frontline PLC
0690EF,NKT A/S
06C115,Aurubis AG
071CB1,Jyske Bank A/S
08862E,Alstom S.A.
08B4B5,Roivant Sciences Ltd.
0911F1,Rexel S.A.
09B253,OHB SE
09DDC4,NatWest Group PLC
09EA66,De'Longhi S.p.A.
0AFFE3,Just Eat Takeaway.com BV
0B2637,IMI PLC
0B5C3C,Aena SME S.A.
0B632C,Airtel Africa PLC
0C28D1,Nexans S.A.
0C44B2,Delivery Hero SE
0C6D81,Kesko Oyj
0CA45E,Voestalpine AG
27E2DB,NN Group N.V.
284283,Boliden AB
290675,Vallourec S.A.
29742E,Orsted A/S
29BD75,Banco Sabadell S.A.
29C6BF,Inditex
442587,BNP Paribas S.A.
446ADD,Mowi ASA
E0427E,GSK PLC
E094EB,Smith & Nephew PLC
E0A84E,AccorHotels S.A.
E0AD75,Antofagasta PLC
E0E897,Allfunds Group PLC
E19758,Wallenius Wilhelmsen ASA
E1E093,Merck Darmstadt
E2D70C,Aéroports de Paris
E317E0,Novo Nordisk A/S
E3B0EC,Abivax S.A.
E3FC9C,Standard Chartered PLC
E43B87,Turk Telekomunikasyon A.S.
E48344,Endesa S.A.
E54950,Alfa Laval AB
E57F94,Investec PLC
E61E5B,Coca-Cola Europacific Partners PLC
E68733,Medtronic PLC
E6A6F6,Centessa Pharmaceuticals PLC
E6C332,Industrivarden AB
E74F75,Castellum AB
E868F0,Yara International ASA
E894E1,Coloplast A/S
E98437,Davide Campari-Milano N.V.
E99564,Telekom Austria AG
E9C8E8,CEZ A.S.
E9E44A,Carrefour S.A.
EB5D45,Ryanair Holdings PLC
EBA4F7,CTS Eventim AG & Co. KGaA
EBBDDA,Banca Generali SpA
EC210B,Infineon Technologies AG
3QOVKF,On Holding AG
409762,Segro PLC
40BEB9,Sectra AB
417364,Autoliv Inc.
417431,Equinor ASA
41EFD4,GEA Group AG
41F457,Hochtief AG
1A1E26,S.N.G.N. Romgaz S.A.
2C3466,Fomento de Construcciones y Contratas SA
314E5A,Munich Re
601989,Svenska Cellulosa AB
6038EC,Oberbank AG
6056E8,Henkel AG & Co. KGaA
60F8A4,TE Connectivity PLC
61B044,St. James's Place PLC
61B740,Lloyds Banking Group PLC
7R8L5B,Destek Finans Faktoring A.S.
505212,Covestro AG
50C117,Subsea 7 S.A.
5176ED,Leonardo S.p.A.
521317,Taylor Wimpey PLC
524322,DSV A/S
528DA2,EDP S.A.
52D936,Prudential PLC
52F3A1,Financière de Tubize S.A.
531718,Hermes International S.C.A.
5498EB,United Internet AG
54C679,Ferrovial N.V.
551F85,Metso Oyj
554255,Sandvik AB
555CA1,Koninklijke Vopak N.V.
55D63C,Evonik Industries AG
55EDAF,Millicom International Cellular S.A.
57AD32,Indra Sistemas S.A.
57D22B,ISS A/S
57F354,Babcock International Group PLC
5930DD,British American Tobacco PLC
59DC38,Partners Group Holding AG
1Y4363,Amer Sports Inc.
5B6BCT,Syensqo NV
278DC5,Linde PLC
