rp_entity_id,company_name
020E33,Royal Bank of Canada Inc.
736B94,Shopify Inc.
741768,Toronto-Dominion Bank Inc.
930367,Bank of Montreal Inc.
513791,Enbridge Inc.
9B42DD,Agnico Eagle Mines Ltd.
53C167,Bank of Nova Scotia Co.
B7F5B8,Canadian Imperial Bank of Commerce Co.
97DE22,Canadian Natural Resources Ltd.
83AFBE,Brookfield Corp.
692DA6,Canadian Pacific Railway Ltd.
6LW8TA,Brookfield Asset Management Ltd.
4942D5,Suncor Energy Inc.
5D49C7,Canadian National Railway Co.
FFCC2A,Barrick Mining Corp.
49F284,Wheaton Precious Metals Corp.
4E01CD,Manulife Financial Corp.
43BCDD,Imperial Oil Ltd.
2FE28F,TC Energy Corp.
8822A5,National Bank of Canada
A2415F,Cenovus Energy Inc.
8A9CBD,Great-West Lifeco Inc.
FC502A,Alimentation Couche-Tard Inc.
EFAC45,Franco-Nevada Corp.
CE5EB0,Loblaw Cos. Ltd.
D5FA7B,Constellation Software Inc.
061856,Thomson Reuters Corp.
E2D3F3,Cameco Corp.
DB5DA5,Sun Life Financial Inc.
D4EBAD,Waste Connections Inc.
FB02A2,Power Corp. of Canada Ltd.
9C114A,Kinross Gold Corp.
0AB758,Celestica Inc.
4D9669,Restaurant Brands International Inc.
CD5E8B,Dollarama Inc.
FFBF74,Nutrien Ltd.
4BBA44,Teck Resources Ltd.
F36A0D,Intact Financial Corp.
82F979,Fairfax Financial Holdings Ltd.
E950F5,Brookfield Infrastructure Partners LP
F751A4,First Quantum Minerals Ltd.
B5A6BF,Pembina Pipeline Corp.
4FA321,Fortis Inc.
16A27C,George Weston Ltd.
FE3062,Bombardier Inc.
0A3999,Lundin Mining Corp.
33B172,Hydro One Ltd.
1CBF42,BCE Inc.
4CE63E,Pan American Silver Corp.
26B02E,Rogers Communications Inc.
60A286,Magna International Inc.
CD9FFF,WSP Global Inc.
264C57,Lundin Gold Inc.
416302,Tourmaline Oil Corp.
118A3F,RB Global Inc.
D5EBB7,Whitecap Resources Inc.
012BBE,Brookfield Renewable Partners L.P.
86ACF2,Alamos Gold Inc.
6EAA77,Equinox Gold Corp.
6CB9D8,TELUS Corp.
D1E81C,CGI Inc.
511A7B,Emera Inc.
FD5F0D,GFL Environmental Inc.
D49C7B,IGM Financial Inc.
0F1750,Arc Resources Ltd.
59B705,Metro Inc.
1DD3A3,Hudbay Minerals Inc.
88032A,Ivanhoe Mines Ltd.
F74B1C,iA Financial Corp.
18893B,Keyera Corp.
CD1A7E,Toromont Industries Ltd.
B1A282,IAMGold Corp.
D24C5D,Eldorado Gold Corp.
65521E,Saputo Inc.
037096,AltaGas Ltd.
ADD109,CCL Industries Inc.
44F0AB,TFI International Inc.
1AB66C,DPM Metals Inc.
F3F692,Aritzia Inc.
C614C7,TMX Group Ltd.
D884DC,Gildan Activewear Inc.
21A365,First Majestic Silver Corp.
140F00,Canadian Utilities Ltd.
81741F,Quebecor Inc.
CCE807,AtkinsRéalis Group Inc.
3D2EC0,Capstone Copper Corp.
736D58,Finning International Inc.
F882AF,Stantec Inc.
7FC061,Choice Properties REIT
12E063,CAE Inc.
41F2FA,Element Fleet Management Corp.
WASJ31,South Bow Corp.
377421,Empire Co. Ltd.
CD9D08,SSR Mining Inc.
BFACF2,Canadian Tire Corp. Ltd.
7741CF,Capital Power Corp.
19973C,B2Gold Corp.
AB6FDB,NexGen Energy Ltd.
28DA8B,Discovery Mining Ltd.
EA2446,Triple Flag Precious Metals Corp.
6767F3,OceanaGold Corp.
7EEF50,Strathcona Resources Ltd.
E947BB,OR Royalties Inc.
E2085D,DesCartes Systems Group Inc.
IHHUAJ,Definity Financial Corp.
2AF764,FirstService Corp.
E82BF7,Onex Corp.
6702B9,PrairieSky Royalty Ltd.
EA37B2,Atco Ltd.
34E891,Open Text Corp.
9A51OR,Brookfield Business Corp.
7E3AFB,Air Canada Inc.
7398BE,West Fraser Timber Co. Ltd.
C7F104,Colliers International Group Inc.
CC23AC,K92 Mining Inc.
C1664D,Exchange Income Corp.
2735E6,MDA Space Ltd.
EC9820,BRP Inc.
6C9CF6,Chartwell Retirement Residences Co.
8361A0,Tamarack Valley Energy Ltd.
E040DD,BlackBerry Ltd.
089035,Torex Gold Resources Ltd.
3327DF,Linamar Corp.
736310,Methanex Corp.
883F42,Centerra Gold Inc.
481618,NGEx Minerals Ltd.
B76D53,Riocan Real Estate Investment Trust Co.
9DF2E4,Algonquin Power & Utilities Corp.
D3D945,Skeena Resources Ltd.
AC0D3D,Aris Mining Corp.
10CBB6,Ero Copper Corp.
873486,Northland Power Inc.
2AA7E9,Granite Real Estate Investment Trust
FB52BA,Gibson Energy Inc.
F54279,Athabasca Oil Corp.
09AEEF,TransAlta Corp.
CADCAE,Aya Gold & Silver Inc.
72D28E,NovaGold Resources Inc.
3DB111,Canadian Apartment Properties REIT
586927,Energy Fuels Inc.
C69D06,Peyto Exploration & Development Corp.
4A5F5F,Secure Waste Infrastructure Corp.
640FF7,Orla Mining Ltd.
11DA11,Wesdome Gold Mines Ltd.
1559CD,Topaz Energy Corp.
94ECB8,Fortuna Mining Corp.
750914,Kinaxis Inc.
40618B,First Capital REIT
3610D7,Paramount Resources Ltd.
A2FFB6,SmartCentres REIT
