RP_ENTITY_ID,COMPANY_NAME
9E5C2C,Sumisho Air Lease Corp.
9E91C6,Wynn Resorts Ltd.
9EA947,Allison Transmission Holdings Inc.
9F03CF,Hershey Co.
9F18FA,TransDigm Group Inc.
9F47E2,Roku Inc.
9F4A7D,EnLink Midstream LLC
9F6B1A,Labcorp Holdings Inc.
9F71E5,Intercontinental Exchange Inc.
9FA83B,Performance Food Group Co.
CMJ18O,QuidelOrtho Corp.
3D9999,Synchrony Financial Inc.
3DC887,Arista Networks Inc.
3DDE54,PBF Energy Inc.
3DE4D1,Kimberly-Clark Corp.
3E15F6,CubeSmart Co.
3ED92D,MSCI Inc.
3F4497,Masco Corp.
RDU3ZQ,Atlassian Corp.
C0BA36,Coherent Corp.
C15DB3,Genuine Parts Co.
C15F8F,Atkore Inc.
C16A8F,Olin Corp.
C19D5A,Reynolds Consumer Products Inc.
7E1D5D,Synopsys Inc.
7E3F8F,IQVIA Holdings Inc.
HMAG7F,Informatica Inc. (California)
MSER6L,GXO Logistics Inc.
C0030A,Somnigroup International Inc.
C0200F,ManpowerGroup Inc.
C03C8B,Zoetis Inc.
709AED,Cognex Corp.
70B3D6,Academy Sports & Outdoors Inc.
713810,Walmart Inc.
7176FB,BILL Holdings Inc.
719477,The Clorox Co.
71E2EF,The Wendy's Co.
722DE3,Tetra Tech Inc.
724F84,Houlihan Lokey Inc.
7255D2,Plug Power Inc.
7262F2,e.l.f. Beauty Inc.
726EEA,ITT Inc.
728737,AGNC Investment Corp.
72C2CE,Bright Horizons Family Solutions Inc.
72DF04,J.B. Hunt Transport Services Inc.
205AD5,UnitedHealth Group Inc.
20BEEA,Steel Dynamics Inc.
20D00A,Antero Resources Corp.
21022F,Wingstop Inc.
2158DF,Ansys Inc.
300AC5,FTI Consulting Inc.
304C94,Generac Holdings Inc.
30A565,Super Micro Computer Inc.
30AB63,Brixmor Property Group Inc.
30B7E3,Agilon Health Inc.
30E01D,Affiliated Managers Group Inc.
315EB0,Equinix Inc.
319BE2,Comfort Systems USA Inc.
31AA84,Pegasystems Inc.
31D9CC,First Industrial Realty Trust Inc.
3224CC,Siteone Landscape Supply Inc.
326EDD,Kilroy Realty Corp.
32BBAA,Carrier Global Corp.
32CB22,United Rentals Inc.
32E873,Ares Management Corp.
32F943,Sarepta Therapeutics Inc.
33A0F1,SentinelOne Inc.
33AD83,Dell Technologies Inc.
342218,Pinnacle West Capital Corp.
343996,WEC Energy Group Inc.
3461CF,Moody's Corp.
34A959,Caesars Entertainment Inc.
34B97A,HCA Healthcare Inc.
352F2C,Trex Co. Inc.
353DBB,Illinois Tool Works Inc.
3587B4,Cardinal Health Inc.
35F4B5,Ametek Inc.
362955,Zoom Communications Inc.
366A08,EQT Corp.
367E1C,Neurocrine Biosciences Inc.
36ECA4,CrowdStrike Holdings Inc.
37020C,Zurn Elkay Water Solutions Corp.
370C50,Celanese Corp.
371C01,Erie Indemnity Co.
3770E8,Primerica Inc.
37727A,UDR Inc.
37E17C,Plains All American Pipeline L.P.
382B0C,Coupang Inc.
384CD3,Curtiss-Wright Corp.
385DD4,Marriott International Inc.
388E00,Coterra Energy Inc.
HGGE2U,DraftKings Inc.
7F2C3E,AmeriCold Realty Trust Inc.
7F3669,Rambus Inc.
7F3A5F,Avis Budget Group Inc.
7F6F0B,Hertz Global Holdings Inc.
7F9984,Paycom Software Inc.
6F0096,Valmont Industries Inc.
6F0A63,Gaming and Leisure Properties Inc.
0E1512,Chewy Inc.
0E2992,Flagstar Financial Inc.
0E431C,Ciena Corp.
0E439E,Silgan Holdings Inc.
0E698B,The Trade Desk Inc.
962E74,RLI Corp.
9645E6,Fox Factory Holding Corp.
968B00,Loews Corp.
96D34D,Vertiv Holdings Co.
96F126,Lockheed Martin Corp.
972356,eBay Inc.
97644E,ADT Inc.
977A1E,Dominion Energy Inc.
97AAF6,Consolidated Edison Inc.
97AF94,Coca-Cola Consolidated Inc.
986AF6,NuCor Corp.
990AD0,Bank of America Corp.
992E92,SEI Investments Co.
9972E6,Medical Properties Trust Inc.
998B06,Endeavor Group Holdings Inc.
99FC27,Ollie's Bargain Outlet Holdings Inc.
9A02C4,Ameriprise Financial Inc.
9A4ECA,AppLovin Corp.
9A602D,Ecolab Inc.
9AF3DC,Kellanova
9B4066,Terreno Realty Corp.
9B5968,Marsh & McLennan Cos. Inc.
9BB35A,Fidelity National Financial Inc.
9BBFA5,Darden Restaurants Inc.
9C25FF,Live Nation Entertainment Inc.
9C5174,Insulet Corp.
9C5BA5,The Mosaic Co.
9C82E1,Nexstar Media Group Inc.
9C8BC3,AES Corp.
9CA432,Ryman Hospitality Properties Inc.
9CA619,General Mills Inc.
9CF9B1,Power Integrations Inc.
9D2790,Sysco Corp.
9D30A8,Teledyne Technologies Inc.
9D4EC7,Leggett & Platt Inc.
9D56F2,McCormick & Co. Inc.
9D5FA4,Bio-Rad Laboratories Inc.
9D6A24,WRKCo Inc.
8377DB,Fifth Third Bancorp Co.
859D62,Brown-Forman Corp.
85CDC9,Exelixis Inc.
85DE00,Bio-Techne Corp.
85E0A1,Bentley Systems Inc.
8605B0,WEX Inc.
86478F,Applied Industrial Technologies Inc.
8665BA,Thermo Fisher Scientific Inc.
86A1B9,The Cigna Group
86F3CB,UiPath Inc.
873DB9,Becton Dickinson & Co.
875F41,New York Times Co.
87B81A,CDW Corp.
50070E,Goldman Sachs Group Inc.
504FE2,Leidos Holdings Inc.
50784E,ZoomInfo Technologies Inc.
507AE7,KLA Corp.
5088A5,Texas Roadhouse Inc.
508CFD,Viatris Inc.
51D876,CBRE Group Inc.
51E682,Cincinnati Financial Corp.
51F541,Service Corp. International
52015A,EMCOR Group Inc.
520632,Abbott Laboratories Inc.
532D47,Everforth Inc.
543900,The Campbell's Co.
54D11D,Elastic N.V.
551EEF,Elanco Animal Health Inc.
553949,Stifel Financial Corp.
557DEB,Icahn Enterprises L.P.
55C9B5,Mastercard Inc.
55CD6F,Lamar Advertising Co.
56277A,Zimmer Biomet Holdings Inc.
564F3E,Wyndham Hotels & Resorts Inc.
567F3D,Fortive Corp.
56B7C1,Life Storage Inc.
56CC0A,Norwegian Cruise Line Holdings Ltd.
56EA2B,Alexandria Real Estate Equities Inc.
56EFC7,H&R Block Inc.
57634F,Credit Acceptance Corp.
576787,World Wrestling Entertainment LLC
57B174,Vulcan Materials Co.
57CAAB,Vertex Pharmaceuticals Inc.
57DDB9,T-Mobile US Inc.
586FFD,The Marzetti Co.
589803,Regeneron Pharmaceuticals Inc.
58A62D,Royalty Pharma PLC
58B46F,CenterPoint Energy Inc.
58CA9A,Citigroup Inc.
594402,United Therapeutics Corp.
59872F,Nutanix Inc.
59B229,Principal Financial Group Inc.
4017AD,Flowserve Corp.
4030E2,Emerson Electric Co.
408089,Sherwin-Williams Co.
40B903,TJX Companies Inc.
40E162,Evoqua Water Technologies Corp.
41406A,Ryan Specialty Group Holdings Inc.
414FFF,PVH Corp.
415188,Universal Display Corp.
416C55,Rockwell Automation Inc.
41A93D,Insight Enterprises Inc.
41B0E2,F5 Inc.
41C36B,Madrigal Pharmaceuticals Inc.
KQZMPH,HF Sinclair Corp.
02870F,Insperity Inc.
031025,Manhattan Associates Inc.
034B61,Booking Holdings Inc.
03596A,AECOM Co.
03B8CF,3M Co.
03CF95,PayPal Holdings Inc.
048590,Activision Blizzard Inc.
055018,Capital One Financial Corp.
0555FF,Wolfspeed Inc.
061366,First Solar Inc.
063384,Bunge Ltd.
067779,Carnival Corp. Ltd.
06C826,Darling Ingredients Inc.
06EF42,D.R. Horton Inc.
070B45,Zebra Technologies Corp.
07B8D2,Legend Biotech Corp.
07CA6A,Brunswick Corp.
07EC43,Cognizant Technology Solutions Corp.
08C87C,DoubleVerify Holdings Inc.
095294,DXC Technology Co. (US)
099C88,KBR Inc.
09DE1F,Broadcom Inc.
09E31A,Airbnb Inc.
09F623,ONEOK Inc.
0A0D9E,GoDaddy Inc.
0A32EA,Dropbox Inc.
0B4D10,Annaly Capital Management Inc.
0B57D7,Lam Research Corp.
0B73A7,Vail Resorts Inc.
0BC17A,Exponent Inc.
0BC29E,American International Group Inc.
0BC853,Wesco International Inc.
0BF4BA,Invesco Ltd.
0BF528,Okta Inc.
0C136E,Morningstar Inc.
0C355F,Crocs Inc.
0C466B,UFP Industries Inc.
1151F4,Xcel Energy Inc.
119CB6,Old Dominion Freight Line Inc.
1220D2,Masimo Corp.
1279ED,Civitas Resources Inc.
12A3A3,FactSet Research Systems Inc.
12DE76,Cisco Systems Inc.
12E454,Meta Platforms Inc.
12F98C,Casey's General Stores Inc.
131443,Cummins Inc.
1348C9,Avangrid Inc.
135B09,MDU Resources Group Inc.
13C3E0,American Airlines Group Inc.
73529F,Southwestern Energy Co.
73A71F,The Chemours Co.
73C521,Regions Financial Corp.
7448A3,Universal Health Services Inc.
751A74,Royal Caribbean Group Co.
7520CC,First Financial Bankshares Inc.
7552D0,Snap Inc.
766047,The Hartford Insurance Group Inc.
767F86,Caterpillar Inc.
